0,0.875,0.725,0.1601
2,0.925,0.015,0.1456
1,0.185,0.555,0.2718
0,0.785,0.765,0.1435
2,0.185,0.405,0.1942
1,0.985,0.445,0.1152
0,0.125,0.635,0.1477
1,0.975,0.775,0.1326
2,0.505,0.265,0.1682
0,0.555,0.515,0.1712
2,0.345,0.115,0.1608
1,0.385,0.535,0.2067
0,0.155,0.025,0.1891
2,0.175,0.455,0.1439
1,0.755,0.985,0.1987
0,0.745,0.575,0.1246
2,0.865,0.815,0.1918
0,0.605,0.955,0.2044
1,0.535,0.025,0.2035
2,0.295,0.405,0.1245
1,0.725,0.845,0.1295
2,0.875,0.565,0.1355
0,0.365,0.195,0.1521
0,0.165,0.225,0.1419
1,0.595,0.475,0.182
0,0.005,0.885,0.1312
1,0.815,0.385,0.184
2,0.245,0.715,0.2365
1,0.665,0.925,0.1472
2,0.325,0.665,0.1558
0,0.925,0.295,0.1558
0,0.985,0.285,0.165
2,0.025,0.315,0.2031
1,0.805,0.495,0.3071
0,0.125,0.585,0.1217
2,0.975,0.225,0.1325
1,0.735,0.305,0.152
0,0.675,0.645,0.1368
2,0.275,0.585,0.1729
1,0.125,0.705,0.1522
0,0.185,0.475,0.1725
1,0.165,0.045,0.1304
2,0.595,0.795,0.1993
0,0.925,0.235,0.1814
2,0.665,0.415,0.1248
1,0.455,0.395,0.2017
0,0.445,0.105,0.1626
2,0.335,0.895,0.1768
1,0.555,0.155,0.2862
2,0.445,0.765,0.1642
1,0.845,0.895,0.1392
0,0.925,0.375,0.2339
2,0.755,0.485,0.1381
0,0.435,0.715,0.1674
1,0.465,0.645,0.2858
2,0.225,0.645,0.1407
1,0.535,0.255,0.14
0,0.555,0.125,0.1547
2,0.875,0.085,0.2153
0,0.975,0.915,0.1412
1,0.615,0.635,0.213
1,0.165,0.155,0.1338
